Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,UrbanThreshold,RuralThreshold,Urban-or-Rural-USDA-Classification,Urban-or-Rural-CENSUS-Classification,Match/Mismatch
3033,53718,55025.0,11402,1030.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,,Mismatch
3043,53151,55133.0,201503,3010.0,Assigned,55133201503,55133.0,WI,Waukesha County,55133201503.0,1.0,,,Urban,,Mismatch
3052,54956,55139.0,3702,3037.0,Assigned,55139003702,55139.0,WI,Winnebago County,55139003702.0,1.0,,,Urban,,Mismatch
3055,54956,55139.0,3702,2018.0,Assigned,55139003702,55139.0,WI,Winnebago County,55139003702.0,1.0,,,Urban,,Mismatch
3114,53154,55079.0,160300,4027.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
3148,53188,55133.0,203102,6021.0,Assigned,55133203102,55133.0,WI,Waukesha County,55133203102.0,1.0,,,Urban,,Mismatch
3153,53122,55133.0,201000,4011.0,Assigned,55133201000,55133.0,WI,Waukesha County,55133201000.0,1.0,,,Urban,,Mismatch
3154,53066,55133.0,204502,3014.0,Assigned,55133204502,55133.0,WI,Waukesha County,55133204502.0,1.0,,,Urban,,Mismatch
3159,53590,55025.0,11503,2066.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,,Mismatch
3174,53122,55133.0,201000,3036.0,Assigned,55133201000,55133.0,WI,Waukesha County,55133201000.0,1.0,,,Urban,,Mismatch
3176,53066,55133.0,204200,4007.0,Assigned,55133204200,55133.0,WI,Waukesha County,55133204200.0,1.0,,,Urban,,Mismatch
3178,53188,55133.0,203102,6021.0,Assigned,55133203102,55133.0,WI,Waukesha County,55133203102.0,1.0,,,Urban,,Mismatch
3190,54956,55139.0,3702,3064.0,Assigned,55139003702,55139.0,WI,Winnebago County,55139003702.0,1.0,,,Urban,,Mismatch
3197,53209,55079.0,50102,3005.0,Assigned,55079050102,55079.0,WI,Milwaukee County,55079050102.0,1.0,,,Urban,,Mismatch
3218,53154,55079.0,160300,1009.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
3273,53223,55079.0,50102,1002.0,Assigned,55079050102,55079.0,WI,Milwaukee County,55079050102.0,1.0,,,Urban,,Mismatch
3290,53121,55127.0,200,4009.0,Assigned,55127000200,55127.0,WI,Walworth County,55127000200.0,3.0,,,Urban,,Mismatch
3295,53188,55133.0,203102,6003.0,Assigned,55133203102,55133.0,WI,Waukesha County,55133203102.0,1.0,,,Urban,,Mismatch
3299,53024,55089.0,640100,5031.0,Assigned,55089640100,55089.0,WI,Ozaukee County,55089640100.0,1.0,,,Urban,,Mismatch
3310,53066,55133.0,204200,5003.0,Assigned,55133204200,55133.0,WI,Waukesha County,55133204200.0,1.0,,,Urban,,Mismatch
3314,53154,55079.0,160300,1033.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
3327,53154,55079.0,160300,4027.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
3336,53154,55079.0,160300,1028.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
3338,53154,55079.0,160300,1018.0,Assigned,55079160300,55079.0,WI,Milwaukee County,55079160300.0,1.0,,,Urban,,Mismatch
3350,53562,55025.0,11102,4012.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
3353,53705,55025.0,300,1016.0,Assigned,55025000300,55025.0,WI,Dane County,55025000300.0,1.0,,,Urban,,Mismatch
3377,53072,55133.0,203306,1004.0,Assigned,55133203306,55133.0,WI,Waukesha County,55133203306.0,1.0,,,Urban,,Mismatch
3409,53901,55021.0,970400,1016.0,Assigned,55021970400,55021.0,WI,Columbia County,55021970400.0,4.0,,,Urban,,Mismatch
