State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,"Secondary RUCA Code, 2010 (see errata)","Tract Population, 2010","Land Area (square miles), 2010","Population Density (per square mile), 2010",Urban-or-Rural-USDA-Classification
55133,WI,Waukesha County,55133204400,1,1.0,"2,079",2.5,823.7,Urban
55133,WI,Waukesha County,55133204502,1,1.0,"6,061",5.0,"1,214.10",Urban
55139,WI,Winnebago County,55139000100,1,1.0,"2,935",0.5,"6,470.30",Urban
55139,WI,Winnebago County,55139000200,1,1.0,"2,559",0.4,"5,751.40",Urban
55139,WI,Winnebago County,55139000300,1,1.0,"4,151",1.0,"4,218.40",Urban
55139,WI,Winnebago County,55139000400,1,1.0,"2,701",1.1,"2,478.30",Urban
55139,WI,Winnebago County,55139000500,1,1.0,"6,131",0.9,"6,806.40",Urban
55139,WI,Winnebago County,55139000700,1,1.0,"5,503",0.5,"11,794.10",Urban
55139,WI,Winnebago County,55139000800,1,1.0,"3,117",0.5,"6,122.10",Urban
55139,WI,Winnebago County,55139000900,1,1.0,"3,276",1.5,"2,252.30",Urban
55139,WI,Winnebago County,55139001000,1,1.0,"2,718",0.9,"3,139.00",Urban
55139,WI,Winnebago County,55139001100,1,1.0,"4,215",1.0,"4,044.80",Urban
55139,WI,Winnebago County,55139001200,1,1.0,"2,028",0.6,"3,465.40",Urban
55139,WI,Winnebago County,55139001300,1,1.0,"2,664",1.2,"2,283.70",Urban
55139,WI,Winnebago County,55139001400,1,1.0,"3,983",2.4,"1,640.90",Urban
55139,WI,Winnebago County,55139001500,1,1.0,"3,168",1.3,"2,455.70",Urban
55139,WI,Winnebago County,55139001600,1,1.0,"4,039",5.1,796.3,Urban
55139,WI,Winnebago County,55139001700,1,1.0,"5,310",9.9,538.4,Urban
55139,WI,Winnebago County,55139001801,1,1.0,"5,493",6.1,893.5,Urban
55139,WI,Winnebago County,55139001803,1,1.0,"5,737",4.2,"1,359.60",Urban
55139,WI,Winnebago County,55139001804,1,1.0,"4,475",3.2,"1,415.90",Urban
55139,WI,Winnebago County,55139001900,1,1.0,"5,016",46.0,109,Urban
55139,WI,Winnebago County,55139002400,1,1.0,"9,874",9.3,"1,067.00",Urban
55139,WI,Winnebago County,55139002500,1,1.0,"5,045",1.4,"3,569.00",Urban
55139,WI,Winnebago County,55139002601,1,1.0,"3,916",1.7,"2,247.10",Urban
55139,WI,Winnebago County,55139002602,1,1.0,"4,543",1.2,"3,648.70",Urban
55139,WI,Winnebago County,55139002700,1,1.0,"2,504",0.5,"5,440.60",Urban
55139,WI,Winnebago County,55139002800,1,1.0,"4,594",1.3,"3,529.10",Urban
55139,WI,Winnebago County,55139002900,1,1.0,"2,341",0.5,"4,617.20",Urban
55139,WI,Winnebago County,55139003000,1,1.0,"1,601",0.6,"2,663.20",Urban
55139,WI,Winnebago County,55139003100,1,1.0,"2,108",0.6,"3,732.00",Urban
55139,WI,Winnebago County,55139003200,1,1.0,"2,305",0.6,"3,551.90",Urban
55139,WI,Winnebago County,55139003300,1,1.0,"2,816",0.8,"3,707.30",Urban
55139,WI,Winnebago County,55139003400,1,1.0,"3,911",1.5,"2,589.30",Urban
55139,WI,Winnebago County,55139003500,1,1.0,"3,064",1.0,"2,939.50",Urban
55139,WI,Winnebago County,55139003600,1,1.0,"4,138",1.3,"3,199.50",Urban
55139,WI,Winnebago County,55139003701,1,1.0,"3,690",0.8,"4,607.60",Urban
55139,WI,Winnebago County,55139003702,1,1.0,"7,848",13.9,563.5,Urban
